CLAVE BMV,NOMBRE,Name (or Code),RIC,PO mean,po median,CLOSED,YTD,Upside mean
MAXCOM,"MAXCOM TELECOMUNICACIONES, S.A.B. DE C.V.",Maxcom Telecomunicaciones SAB de CV,MAXCOMA.MX,2.5,2.5,2.3,-58.9285,8.70%
MEGA,"MEGACABLE HOLDINGS, S.A.B. DE C.V.",Megacable Holdings SAB de CV,MEGACPO.MX,99.40909,105,89.86,1.9514,10.63%
MEXCHEM,"MEXICHEM, S.A.B. DE C.V.",Mexichem SAB de CV,MEXCHEM.MX,66.88636,65.6,46.58,-6.728,43.59%
MFRISCO,"MINERA FRISCO, S.A.B. DE C.V.",Minera Frisco SAB de CV,MFRISCOA1.MX,4.1,4.1,4.42,-14.9999,-7.24%
NEMAK,"NEMAK, S.A.B. DE C.V.",Nemak SAB de CV,NEMAKA.MX,15.65833,15.5,10.85,-25.9385,44.32%
OMA,"GRUPO AEROPORTUARIO DEL CENTRO NORTE, S.A.B. DE C.V.",Grupo Aeroportuario del Centro Norte SAB de CV,OMAB.MX,124.02526,122,109.78,17.2237,12.98%
PAPPEL,"BIO PAPPEL, S.A.B. DE C.V.",Bio Pappel SAB de CV,PAPPEL.MX,30.6,30.6,26.55,29.7654,15.25%
PE&OLES,"INDUSTRIAS PEÑOLES, S. A.B. DE C. V.",Industrias Penoles SAB de CV,PENOLES.MX,299.21,285.5,229.36,-4.4093,30.45%
PINFRA,"PROMOTORA Y OPERADORA DE INFRAESTRUCTURA, S.A.B. DE C.V.",Promotora y Operadora de Infraestructura SAB de CV,PINFRA.MX,223.84375,225.5,193.16,2.6737,15.89%
Q,"QUÁLITAS CONTROLADORA, S.A.B. DE C.V.",Qualitas Controladora SAB de CV,Q.MX,53,53,48.45,17.1139,9.39%
R,"REGIONAL, S.A.B. DE C.V.",Regional SAB de CV,RA.MX,113.77273,112,98.65,9.0176,15.33%
RASSINI,"RASSINI, S.A.B. DE C.V.",Rassini SAB de CV,RASSNICPO.MX,83.3,87.6,66,-21.9673,26.21%
SIMEC,"GRUPO SIMEC, S.A.B. DE C.V.",Grupo Simec SAB de CV,SIMECB.MX,67.46667,66.4,56.03,-8.4177,20.41%
SITES,"TELESITES, S.A.B. DE C.V.",Telesites SAB de CV,SITESB1.MX,15.28333,16.9,12.95,10.3066,18.02%
SORIANA,"ORGANIZACION SORIANA, S.A.B. DE C.V.",Organizacion Soriana SAB de CV,SORIANAB.MX,28.1,26,22.71,-18.1621,23.73%
SPORT,"GRUPO SPORTS WORLD, S.A.B. DE C.V.",Grupo Sports World SAB de CV,SPORTS.MX,24,24,19.75,-4.3583,21.52%
TLEVISA,"GRUPO TELEVISA, S.A.B.",Grupo Televisa SAB,TLVACPO.MX,65.27692,63,42.02,-14.8357,55.35%
TRAXION,GRUPO TRAXIÓN S.A.B DE C.V.,Grupo Traxion SAB de CV,TRXIONA.MX,18.66,19.5,13.45,11.99,38.74%
TS,TENARIS S.A.,,TENR.MI,14.70056,14.05776,12.685,34.375,15.89%
UNIFIN,"UNIFIN FINANCIERA, S.A.B. DE C.V., SOFOM, E.N.R.",Unifin Financiera SAB de CV SOFOM ENR,UNIFINA.MX,49.66667,46,40.78,-2.974,21.79%
VESTA,"CORPORACIÓN INMOBILIARIA VESTA, S.A.B. DE C.V.",Corporacion Inmobiliaria Vesta SAB de CV,VESTA.MX,32.66923,33,28.3,5.4789,15.44%
VINTE,"VINTE VIVIENDAS INTEGRALES, S.A.B. DE C.V.",Vinte Viviendas Integrales SAB de CV,VINTE.MX,32.5,32.5,28.4,-2.0689,14.44%
VISTA,"VISTA OIL & GAS, S.A.B. DE C.V.",Vista Oil & Gas SAB de CV,VISTAA.MX,273.53333,270.6,177,18.3551,54.54%
VOLAR,"CONTROLADORA VUELA COMPAÑÍA DE AVIACIÓN, S.A.B. DE C.V.",Controladora Vuela Compania de Aviacion SAB de CV,VOLARA.MX,20.7,19.9,17.22,64.313,20.21%
WALMEX,"WAL - MART DE MEXICO, S.A.B. DE C.V.",Wal Mart de Mexico SAB de CV,WALMEX.MX,55.425,56.5,51.86,3.7823,6.87%
